i	N	d1	d2	d3i	d3o
1	0.12164222657483696	0.10013056630878586	0.0783436638613505	0.06353600656896202	0.0711566305871828
2	0.13672861938213632	0.11765488748740494	0.09509671557505268	0.08049886928435092	0.08598860233529972
3	0.24798344017094018	0.15656403359515747	0.10806653810281977	0.07146821286968083	0.09987898362728284
4	0.4167308236295927	0.31233521923398033	0.23380996271915655	0.12306258710420531	0.25367107523233107
5	0.4138782577000182	0.2383680536183861	0.16077042513004142	0.12528646689517575	0.1303093630550488
6	0.22218900188777568	0.1367370244866518	0.093855823346369	0.0812855815423495	0.0676948370456712
7	0.30165413533834584	0.12165413533834299	0.06630731827169098	0.05936246867167971	0.03026584317937775
8	0.23349730400614263	0.19853518279402288	0.15999627629736074	0.1402998180024638	0.14026957238208165
9	0.2785855371260021	0.20771466625511575	0.1568173963265877	0.14913972255491897	0.11488664561693568
10	0.273216697228316	0.17968800369962598	0.1297722958204848	0.1311002590737322	0.07948878836524495
11	0.41154224194861244	0.2912819137086613	0.21587388079717054	0.16839286512394191	0.19085804071786447
12	0.2730564839269319	0.1954094251034015	0.14490543443836745	0.13688216993425456	0.10401538411192851
13	0.29206884743253625	0.2110123811301671	0.15644555392292703	0.14187409386901517	0.11918401882649371
14	0.19279043752935582	0.15023975388955965	0.11501214351326525	0.10969907427767835	0.08486428795386347
15	0.45965628770732336	0.255291208342245	0.16891386477993875	0.11985924554243815	0.14680839709512117
16	0.7162755592150405	0.43489027782976086	0.3033655175796969	0.17874364668312903	0.30926412684337723
17	0.19458148759158017	0.12336055735902332	0.08599935037204678	0.07396021492805548	0.06375896136857728
18	0.3997642676669011	0.242499310401943	0.16760933122387137	0.14815185397845898	0.12179685833674131
19	0.29054158380374767	0.18165656638214245	0.12807602120938427	0.11969162437460062	0.08741057774938968
20	0.41842877034736853	0.16484025360095955	0.09659809188495744	0.09275442254054744	0.05091225520927506
21	0.6131042370131607	0.47231349448664106	0.3631747965246328	0.2450254034466633	0.3675689519463008
22	0.1869264903538475	0.07581537924273477	0.040945372948700764	0.04182924902723942	0.011530711989733267
23	0.23712584486643062	0.14712584486643038	0.09887953274115549	0.09764481028735633	0.05439142906212477
24	0.3950915799727497	0.27202059231843445	0.20101268828816465	0.18687713033881842	0.1472363693825073
25	0.7372394961929365	0.3423531325565737	0.23044140141615177	0.24275282774678858	0.13016010094990715
26	0.6015018773466834	0.3157875916323978	0.21019821457379312	0.21971917559671456	0.11268481205903064
27	0.13059588144890122	0.11123119886406191	0.08807948001687929	0.060848725548780486	0.08838925077585505
28	0.12708907624907273	0.09255381983881208	0.0682090203364163	0.05151376207122654	0.060557596212342385
29	0.2922760709117866	0.20375007177125973	0.14931658647529295	0.12388640121841804	0.12380736887202709
30	0.3500511437604612	0.11493209614141109	0.05436352344972184	0.039821455616049994	0.02734600666693343
31	0.23122769161048642	0.14339700377979814	0.0952859394012798	0.03875409351439943	0.10341428882107337
32	0.07721208274522481	0.056975705365989664	0.04193034109071022	0.032259547174299574	0.03659344734556183
33	0.4540836014348051	0.2605352143380338	0.18333194862557545	0.19480230815226335	0.09939372017232068
34	0.2107998085317673	0.14517426018995236	0.10565269997215174	0.0875065747518648	0.08638021171944901
35	0.2885081433754702	0.21230550395443942	0.1563520184878631	0.07642484396044702	0.17173276015902017
36	0.40678349940770675	0.2642495627561224	0.18605779777611	0.1391474827559408	0.16255719531674795
37	0.941835725630038	0.521717382434771	0.3666659654450043	0.3889883305104668	0.2108140228410793
38	0.11454780657052968	0.08832471459401958	0.06712933317034382	0.06026207402781152	0.05314483636063269
39	0.4106150569946756	0.319705966085585	0.24627541718316934	0.19503896812936888	0.2241138220243552
40	0.15226507053907856	0.11864748348639487	0.09153859476437512	0.09445161062743654	0.060004056986358634
41	0.5844019959114589	0.3344019959114589	0.23142253724588635	0.16647087682701855	0.20994629697122336
42	0.4526190314780919	0.3050495870336464	0.21982409136331987	0.152208609172246	0.20763572775391767
43	0.07685269524756744	0.060059143971296025	0.04550795161028545	0.0316404418783537	0.0435731605816794
44	0.3837576152953142	0.2900076152953142	0.220971272880793	0.1893894874329517	0.18585395461819895
45	0.17665961920935508	0.110333088597111	0.07543391814855739	0.07498815481033937	0.04229067991792279
46	0.5126744553060487	0.36128205024276483	0.27038444980838017	0.23279459189972274	0.22241011199865612
47	0.4022454117264902	0.36626657574765553	0.2950568340989984	0.31971030310836324	0.19448595201042815
48	0.5237110685900821	0.20470654370320485	0.12652058816603073	0.11809787254591231	0.08020345099878218
49	0.36502572936681466	0.25624853506824063	0.18866392376730445	0.14208550664043468	0.17079613748608524
50	0.276217605563338	0.2007345137759017	0.1448309294764931	0.06307364696597051	0.16260576345807642
51	0.4470552538519198	0.31061734535518837	0.22411981283248747	0.11570132648113657	0.23914216869050792
52	0.4248964803312629	0.17489648033126293	0.09754182758747659	0.07694962042788106	0.06203933747412027
53	0.3588840626170953	0.26411005131763104	0.19977788193070606	0.16167531285175338	0.17443787310291248
54	0.4112066612066612	0.21928746928746912	0.13948734137994462	0.11177565124933547	0.10271504649495034
55	0.23938541597402208	0.17954453046727556	0.13524454037917566	0.13423836209500933	0.09143670972631462
56	0.1374142725523746	0.06396413778148291	0.03649141225037292	0.02548469605728587	0.0241273226450459
57	0.37152241918665274	0.22273349185101138	0.15389732126788225	0.1630095996979688	0.08038125574452987
58	0.396626325036996	0.2664675948782673	0.19010926506965617	0.11708068702740282	0.18869588991059777
59	0.7916666666666667	0.44444444444444464	0.3012042996123529	0.3261458333333336	0.15595238095238062
