i	bC	pC	eC	bN	pN	eN	bM	pM	eM
1	0.15615615615615616	0.15868899202232534	-0.0025328358661691752	0.2534431659693166	0.26541170083513066	-0.011968534865814062	0.31786242603550297	0.27220459475770076	0.04565783127780221
2	0.16516516516516516	0.15329548662881998	0.011869678536345185	0.3531782123187307	0.2837819086380429	0.06939630368068778	0.29322314049586773	0.22633729605633027	0.06688584443953746
3	0.22077922077922077	0.18130701669662708	0.03947220408259369	0.4337878262377526	0.33357750638776146	0.10021031984999113	0.2813341022683583	0.24789939346088566	0.03343470880747265
4	0.1623931623931624	0.14913518935954834	0.013257973033614062	0.320432530135818	0.2747575253503033	0.04567500478551473	0.23762119113573404	0.1830195897845848	0.05460160135114925
5	0.18787878787878787	0.18101063078335805	0.0068681570954298166	0.3236032750791248	0.3259298509711511	-0.002326575892026339	0.24135015608740895	0.1880976322944416	0.053252523792967354
6	0.16428571428571428	0.14681069591783877	0.017475018367875517	0.45677173823115746	0.3294179283989695	0.12735380983218797	0.22967863894139887	0.18416798812411073	0.04551065081728814
7	0.12156862745098039	0.11446047053890189	0.0071081569120785	0.31872222612139056	0.2913184442743185	0.02740378184707204	0.22586426176436583	0.15878434434309835	0.06707991742126748
8	0.14506172839506173	0.12395665462795093	0.021105073767110807	0.30702232792733686	0.236020022074117	0.07100230585321987	0.2594216840199185	0.224651016883127	0.0347706671367915
9	0.13533834586466165	0.1196715304328086	0.01566681543185304	0.34851760880094096	0.27331148600585803	0.07520612279508293	0.23929398148148148	0.18998172548063183	0.04931225600084965
10	0.17777777777777778	0.1525962397390969	0.025181538038680895	0.305738995429796	0.3119185308981194	-0.006179535468323394	0.28093112244897955	0.2204273459728729	0.06050377647610666
11	0.2222222222222222	0.17004670814194622	0.052175514080275986	0.44692523992909106	0.31449234337144205	0.132432896557649	0.22209183673469385	0.1988568546749916	0.02323498205970226
12	0.19548872180451127	0.16486820405993338	0.030620517744577885	0.3215007215007215	0.3020170846278904	0.01948363687283111	0.30972633136094674	0.28301314746841155	0.026713183892535186
13	0.2264957264957265	0.1849095349095349	0.04158619158619159	0.39347595473833097	0.36813368994903195	0.02534226478929902	0.30055179779280883	0.27436504758582225	0.026186750206986575
14	0.16414141414141414	0.14649015406591165	0.017651260075502495	0.3558299678989334	0.2987875674272952	0.05704240047163822	0.2915384615384615	0.27708447335385133	0.01445398818461019
